"fitted_index","family","n_identity","coupling_key","status","phase_applied","reason"
134,"regional_recruitment_variation",1,"identity:134","resolved",1,NA
135,"regional_recruitment_variation",1,"identity:135","resolved",1,NA
136,"regional_recruitment_variation",1,"identity:136","resolved",1,NA
137,"regional_recruitment_variation",1,"identity:137","resolved",1,NA
138,"regional_recruitment_variation",1,"identity:138","resolved",1,NA
139,"regional_recruitment_variation",1,"identity:139","resolved",1,NA
140,"regional_recruitment_variation",1,"identity:140","resolved",1,NA
141,"regional_recruitment_variation",1,"identity:141","resolved",1,NA
142,"regional_recruitment_variation",1,"identity:142","resolved",1,NA
143,"regional_recruitment_variation",1,"identity:143","resolved",1,NA
144,"regional_recruitment_variation",1,"identity:144","resolved",1,NA
145,"regional_recruitment_variation",1,"identity:145","resolved",1,NA
146,"regional_recruitment_variation",1,"identity:146","resolved",1,NA
147,"regional_recruitment_variation",1,"identity:147","resolved",1,NA
148,"regional_recruitment_variation",1,"identity:148","resolved",1,NA
149,"regional_recruitment_variation",1,"identity:149","resolved",1,NA
150,"regional_recruitment_variation",1,"identity:150","resolved",1,NA
151,"regional_recruitment_variation",1,"identity:151","resolved",1,NA
152,"regional_recruitment_variation",1,"identity:152","resolved",1,NA
153,"regional_recruitment_variation",1,"identity:153","resolved",1,NA
154,"regional_recruitment_variation",1,"identity:154","resolved",1,NA
155,"regional_recruitment_variation",1,"identity:155","resolved",1,NA
156,"regional_recruitment_variation",1,"identity:156","resolved",1,NA
157,"regional_recruitment_variation",1,"identity:157","resolved",1,NA
158,"regional_recruitment_variation",1,"identity:158","resolved",1,NA
159,"regional_recruitment_variation",1,"identity:159","resolved",1,NA
160,"regional_recruitment_variation",1,"identity:160","resolved",1,NA
161,"regional_recruitment_variation",1,"identity:161","resolved",1,NA
162,"regional_recruitment_variation",1,"identity:162","resolved",1,NA
163,"regional_recruitment_variation",1,"identity:163","resolved",1,NA
164,"regional_recruitment_variation",1,"identity:164","resolved",1,NA
165,"regional_recruitment_variation",1,"identity:165","resolved",1,NA
166,"regional_recruitment_variation",1,"identity:166","resolved",1,NA
167,"regional_recruitment_variation",1,"identity:167","resolved",1,NA
168,"regional_recruitment_variation",1,"identity:168","resolved",1,NA
169,"regional_recruitment_variation",1,"identity:169","resolved",1,NA
170,"regional_recruitment_variation",1,"identity:170","resolved",1,NA
171,"regional_recruitment_variation",1,"identity:171","resolved",1,NA
172,"regional_recruitment_variation",1,"identity:172","resolved",1,NA
173,"regional_recruitment_variation",1,"identity:173","resolved",1,NA
174,"regional_recruitment_variation",1,"identity:174","resolved",1,NA
175,"regional_recruitment_variation",1,"identity:175","resolved",1,NA
176,"regional_recruitment_variation",1,"identity:176","resolved",1,NA
177,"regional_recruitment_variation",1,"identity:177","resolved",1,NA
178,"regional_recruitment_variation",1,"identity:178","resolved",1,NA
179,"regional_recruitment_variation",1,"identity:179","resolved",1,NA
180,"regional_recruitment_variation",1,"identity:180","resolved",1,NA
181,"regional_recruitment_variation",1,"identity:181","resolved",1,NA
182,"regional_recruitment_variation",1,"identity:182","resolved",1,NA
183,"regional_recruitment_variation",1,"identity:183","resolved",1,NA
184,"regional_recruitment_variation",1,"identity:184","resolved",1,NA
185,"regional_recruitment_variation",1,"identity:185","resolved",1,NA
186,"regional_recruitment_variation",1,"identity:186","resolved",1,NA
187,"regional_recruitment_variation",1,"identity:187","resolved",1,NA
188,"regional_recruitment_variation",1,"identity:188","resolved",1,NA
189,"regional_recruitment_variation",1,"identity:189","resolved",1,NA
190,"regional_recruitment_variation",1,"identity:190","resolved",1,NA
191,"regional_recruitment_variation",1,"identity:191","resolved",1,NA
192,"regional_recruitment_variation",1,"identity:192","resolved",1,NA
193,"regional_recruitment_variation",1,"identity:193","resolved",1,NA
194,"regional_recruitment_variation",1,"identity:194","resolved",1,NA
195,"regional_recruitment_variation",1,"identity:195","resolved",1,NA
196,"regional_recruitment_variation",1,"identity:196","resolved",1,NA
197,"regional_recruitment_variation",1,"identity:197","resolved",1,NA
198,"regional_recruitment_variation",1,"identity:198","resolved",1,NA
199,"regional_recruitment_variation",1,"identity:199","resolved",1,NA
200,"regional_recruitment_variation",1,"identity:200","resolved",1,NA
201,"regional_recruitment_variation",1,"identity:201","resolved",1,NA
202,"regional_recruitment_variation",1,"identity:202","resolved",1,NA
203,"regional_recruitment_variation",1,"identity:203","resolved",1,NA
204,"regional_recruitment_variation",1,"identity:204","resolved",1,NA
205,"regional_recruitment_variation",1,"identity:205","resolved",1,NA
206,"regional_recruitment_variation",1,"identity:206","resolved",1,NA
207,"regional_recruitment_variation",1,"identity:207","resolved",1,NA
208,"regional_recruitment_variation",1,"identity:208","resolved",1,NA
209,"regional_recruitment_variation",1,"identity:209","resolved",1,NA
210,"regional_recruitment_variation",1,"identity:210","resolved",1,NA
211,"regional_recruitment_variation",1,"identity:211","resolved",1,NA
212,"regional_recruitment_variation",1,"identity:212","resolved",1,NA
213,"regional_recruitment_variation",1,"identity:213","resolved",1,NA
214,"regional_recruitment_variation",1,"identity:214","resolved",1,NA
215,"regional_recruitment_variation",1,"identity:215","resolved",1,NA
216,"regional_recruitment_variation",1,"identity:216","resolved",1,NA
217,"regional_recruitment_variation",1,"identity:217","resolved",1,NA
218,"regional_recruitment_variation",1,"identity:218","resolved",1,NA
219,"regional_recruitment_variation",1,"identity:219","resolved",1,NA
220,"regional_recruitment_variation",1,"identity:220","resolved",1,NA
221,"regional_recruitment_variation",1,"identity:221","resolved",1,NA
222,"regional_recruitment_variation",1,"identity:222","resolved",1,NA
223,"regional_recruitment_variation",1,"identity:223","resolved",1,NA
224,"regional_recruitment_variation",1,"identity:224","resolved",1,NA
225,"regional_recruitment_variation",1,"identity:225","resolved",1,NA
226,"regional_recruitment_variation",1,"identity:226","resolved",1,NA
227,"regional_recruitment_variation",1,"identity:227","resolved",1,NA
228,"regional_recruitment_variation",1,"identity:228","resolved",1,NA
229,"regional_recruitment_variation",1,"identity:229","resolved",1,NA
230,"regional_recruitment_variation",1,"identity:230","resolved",1,NA
231,"regional_recruitment_variation",1,"identity:231","resolved",1,NA
232,"regional_recruitment_variation",1,"identity:232","resolved",1,NA
233,"regional_recruitment_variation",1,"identity:233","resolved",1,NA
234,"regional_recruitment_variation",1,"identity:234","resolved",1,NA
235,"regional_recruitment_variation",1,"identity:235","resolved",1,NA
236,"regional_recruitment_variation",1,"identity:236","resolved",1,NA
237,"regional_recruitment_variation",1,"identity:237","resolved",1,NA
238,"regional_recruitment_variation",1,"identity:238","resolved",1,NA
239,"regional_recruitment_variation",1,"identity:239","resolved",1,NA
240,"regional_recruitment_variation",1,"identity:240","resolved",1,NA
241,"regional_recruitment_variation",1,"identity:241","resolved",1,NA
242,"regional_recruitment_variation",1,"identity:242","resolved",1,NA
243,"regional_recruitment_variation",1,"identity:243","resolved",1,NA
244,"regional_recruitment_variation",1,"identity:244","resolved",1,NA
245,"regional_recruitment_variation",1,"identity:245","resolved",1,NA
246,"regional_recruitment_variation",1,"identity:246","resolved",1,NA
247,"regional_recruitment_variation",1,"identity:247","resolved",1,NA
248,"regional_recruitment_variation",1,"identity:248","resolved",1,NA
249,"regional_recruitment_variation",1,"identity:249","resolved",1,NA
250,"regional_recruitment_variation",1,"identity:250","resolved",1,NA
251,"regional_recruitment_variation",1,"identity:251","resolved",1,NA
252,"regional_recruitment_variation",1,"identity:252","resolved",1,NA
253,"regional_recruitment_variation",1,"identity:253","resolved",1,NA
254,"regional_recruitment_variation",1,"identity:254","resolved",1,NA
255,"regional_recruitment_variation",1,"identity:255","resolved",1,NA
256,"regional_recruitment_variation",1,"identity:256","resolved",1,NA
257,"regional_recruitment_variation",1,"identity:257","resolved",1,NA
258,"regional_recruitment_variation",1,"identity:258","resolved",1,NA
259,"regional_recruitment_variation",1,"identity:259","resolved",1,NA
260,"regional_recruitment_variation",1,"identity:260","resolved",1,NA
261,"regional_recruitment_variation",1,"identity:261","resolved",1,NA
262,"regional_recruitment_variation",1,"identity:262","resolved",1,NA
263,"regional_recruitment_variation",1,"identity:263","resolved",1,NA
264,"regional_recruitment_variation",1,"identity:264","resolved",1,NA
265,"regional_recruitment_variation",1,"identity:265","resolved",1,NA
266,"regional_recruitment_variation",1,"identity:266","resolved",1,NA
267,"regional_recruitment_variation",1,"identity:267","resolved",1,NA
268,"regional_recruitment_variation",1,"identity:268","resolved",1,NA
269,"regional_recruitment_variation",1,"identity:269","resolved",1,NA
270,"regional_recruitment_variation",1,"identity:270","resolved",1,NA
271,"regional_recruitment_variation",1,"identity:271","resolved",1,NA
272,"regional_recruitment_variation",1,"identity:272","resolved",1,NA
273,"regional_recruitment_variation",1,"identity:273","resolved",1,NA
274,"regional_recruitment_variation",1,"identity:274","resolved",1,NA
275,"regional_recruitment_variation",1,"identity:275","resolved",1,NA
276,"regional_recruitment_variation",1,"identity:276","resolved",1,NA
277,"regional_recruitment_variation",1,"identity:277","resolved",1,NA
278,"regional_recruitment_variation",1,"identity:278","resolved",1,NA
279,"regional_recruitment_variation",1,"identity:279","resolved",1,NA
280,"regional_recruitment_variation",1,"identity:280","resolved",1,NA
281,"regional_recruitment_variation",1,"identity:281","resolved",1,NA
282,"regional_recruitment_variation",1,"identity:282","resolved",1,NA
283,"regional_recruitment_variation",1,"identity:283","resolved",1,NA
284,"regional_recruitment_variation",1,"identity:284","resolved",1,NA
285,"regional_recruitment_variation",1,"identity:285","resolved",1,NA
286,"regional_recruitment_variation",1,"identity:286","resolved",1,NA
287,"regional_recruitment_variation",1,"identity:287","resolved",1,NA
288,"regional_recruitment_variation",1,"identity:288","resolved",1,NA
289,"regional_recruitment_variation",1,"identity:289","resolved",1,NA
290,"regional_recruitment_variation",1,"identity:290","resolved",1,NA
291,"regional_recruitment_variation",1,"identity:291","resolved",1,NA
292,"regional_recruitment_variation",1,"identity:292","resolved",1,NA
293,"regional_recruitment_variation",1,"identity:293","resolved",1,NA
294,"regional_recruitment_variation",1,"identity:294","resolved",1,NA
295,"regional_recruitment_variation",1,"identity:295","resolved",1,NA
296,"regional_recruitment_variation",1,"identity:296","resolved",1,NA
297,"regional_recruitment_variation",1,"identity:297","resolved",1,NA
298,"regional_recruitment_variation",1,"identity:298","resolved",1,NA
299,"regional_recruitment_variation",1,"identity:299","resolved",1,NA
300,"regional_recruitment_variation",1,"identity:300","resolved",1,NA
301,"regional_recruitment_variation",1,"identity:301","resolved",1,NA
302,"regional_recruitment_variation",1,"identity:302","resolved",1,NA
303,"regional_recruitment_variation",1,"identity:303","resolved",1,NA
304,"regional_recruitment_variation",1,"identity:304","resolved",1,NA
305,"regional_recruitment_variation",1,"identity:305","resolved",1,NA
306,"regional_recruitment_variation",1,"identity:306","resolved",1,NA
307,"regional_recruitment_variation",1,"identity:307","resolved",1,NA
308,"regional_recruitment_variation",1,"identity:308","resolved",1,NA
309,"regional_recruitment_variation",1,"identity:309","resolved",1,NA
310,"regional_recruitment_variation",1,"identity:310","resolved",1,NA
311,"regional_recruitment_variation",1,"identity:311","resolved",1,NA
312,"regional_recruitment_variation",1,"identity:312","resolved",1,NA
313,"regional_recruitment_variation",1,"identity:313","resolved",1,NA
314,"regional_recruitment_variation",1,"identity:314","resolved",1,NA
315,"regional_recruitment_variation",1,"identity:315","resolved",1,NA
316,"regional_recruitment_variation",1,"identity:316","resolved",1,NA
317,"regional_recruitment_variation",1,"identity:317","resolved",1,NA
318,"regional_recruitment_variation",1,"identity:318","resolved",1,NA
319,"regional_recruitment_variation",1,"identity:319","resolved",1,NA
320,"regional_recruitment_variation",1,"identity:320","resolved",1,NA
321,"regional_recruitment_variation",1,"identity:321","resolved",1,NA
322,"regional_recruitment_variation",1,"identity:322","resolved",1,NA
323,"regional_recruitment_variation",1,"identity:323","resolved",1,NA
324,"regional_recruitment_variation",1,"identity:324","resolved",1,NA
325,"regional_recruitment_variation",1,"identity:325","resolved",1,NA
326,"regional_recruitment_variation",1,"identity:326","resolved",1,NA
327,"regional_recruitment_variation",1,"identity:327","resolved",1,NA
328,"regional_recruitment_variation",1,"identity:328","resolved",1,NA
329,"regional_recruitment_variation",1,"identity:329","resolved",1,NA
330,"regional_recruitment_variation",1,"identity:330","resolved",1,NA
331,"regional_recruitment_variation",1,"identity:331","resolved",1,NA
332,"regional_recruitment_variation",1,"identity:332","resolved",1,NA
333,"regional_recruitment_variation",1,"identity:333","resolved",1,NA
334,"regional_recruitment_variation",1,"identity:334","resolved",1,NA
335,"regional_recruitment_variation",1,"identity:335","resolved",1,NA
336,"regional_recruitment_variation",1,"identity:336","resolved",1,NA
337,"regional_recruitment_variation",1,"identity:337","resolved",1,NA
338,"regional_recruitment_variation",1,"identity:338","resolved",1,NA
339,"regional_recruitment_variation",1,"identity:339","resolved",1,NA
340,"regional_recruitment_variation",1,"identity:340","resolved",1,NA
341,"regional_recruitment_variation",1,"identity:341","resolved",1,NA
342,"regional_recruitment_variation",1,"identity:342","resolved",1,NA
343,"regional_recruitment_variation",1,"identity:343","resolved",1,NA
344,"regional_recruitment_variation",1,"identity:344","resolved",1,NA
345,"regional_recruitment_variation",1,"identity:345","resolved",1,NA
346,"regional_recruitment_variation",1,"identity:346","resolved",1,NA
347,"regional_recruitment_variation",1,"identity:347","resolved",1,NA
348,"regional_recruitment_variation",1,"identity:348","resolved",1,NA
349,"regional_recruitment_variation",1,"identity:349","resolved",1,NA
350,"regional_recruitment_variation",1,"identity:350","resolved",1,NA
351,"regional_recruitment_variation",1,"identity:351","resolved",1,NA
352,"regional_recruitment_variation",1,"identity:352","resolved",1,NA
353,"regional_recruitment_variation",1,"identity:353","resolved",1,NA
354,"regional_recruitment_variation",1,"identity:354","resolved",1,NA
355,"regional_recruitment_variation",1,"identity:355","resolved",1,NA
356,"regional_recruitment_variation",1,"identity:356","resolved",1,NA
357,"regional_recruitment_variation",1,"identity:357","resolved",1,NA
358,"regional_recruitment_variation",1,"identity:358","resolved",1,NA
359,"regional_recruitment_variation",1,"identity:359","resolved",1,NA
360,"regional_recruitment_variation",1,"identity:360","resolved",1,NA
361,"regional_recruitment_variation",1,"identity:361","resolved",1,NA
362,"regional_recruitment_variation",1,"identity:362","resolved",1,NA
363,"regional_recruitment_variation",1,"identity:363","resolved",1,NA
364,"regional_recruitment_variation",1,"identity:364","resolved",1,NA
365,"regional_recruitment_variation",1,"identity:365","resolved",1,NA
366,"regional_recruitment_variation",1,"identity:366","resolved",1,NA
367,"regional_recruitment_variation",1,"identity:367","resolved",1,NA
368,"regional_recruitment_variation",1,"identity:368","resolved",1,NA
369,"regional_recruitment_variation",1,"identity:369","resolved",1,NA
370,"regional_recruitment_variation",1,"identity:370","resolved",1,NA
371,"regional_recruitment_variation",1,"identity:371","resolved",1,NA
372,"regional_recruitment_variation",1,"identity:372","resolved",1,NA
373,"regional_recruitment_variation",1,"identity:373","resolved",1,NA
374,"regional_recruitment_variation",1,"identity:374","resolved",1,NA
375,"regional_recruitment_variation",1,"identity:375","resolved",1,NA
376,"regional_recruitment_variation",1,"identity:376","resolved",1,NA
377,"regional_recruitment_variation",1,"identity:377","resolved",1,NA
378,"regional_recruitment_variation",1,"identity:378","resolved",1,NA
379,"regional_recruitment_variation",1,"identity:379","resolved",1,NA
380,"regional_recruitment_variation",1,"identity:380","resolved",1,NA
381,"regional_recruitment_variation",1,"identity:381","resolved",1,NA
382,"regional_recruitment_variation",1,"identity:382","resolved",1,NA
383,"regional_recruitment_variation",1,"identity:383","resolved",1,NA
384,"regional_recruitment_variation",1,"identity:384","resolved",1,NA
385,"regional_recruitment_variation",1,"identity:385","resolved",1,NA
386,"regional_recruitment_variation",1,"identity:386","resolved",1,NA
387,"regional_recruitment_variation",1,"identity:387","resolved",1,NA
388,"regional_recruitment_variation",1,"identity:388","resolved",1,NA
389,"regional_recruitment_variation",1,"identity:389","resolved",1,NA
390,"regional_recruitment_variation",1,"identity:390","resolved",1,NA
391,"regional_recruitment_variation",1,"identity:391","resolved",1,NA
392,"regional_recruitment_variation",1,"identity:392","resolved",1,NA
393,"regional_recruitment_variation",1,"identity:393","resolved",1,NA
394,"regional_recruitment_variation",1,"identity:394","resolved",1,NA
395,"regional_recruitment_variation",1,"identity:395","resolved",1,NA
396,"regional_recruitment_variation",1,"identity:396","resolved",1,NA
397,"regional_recruitment_variation",1,"identity:397","resolved",1,NA
398,"regional_recruitment_variation",1,"identity:398","resolved",1,NA
399,"regional_recruitment_variation",1,"identity:399","resolved",1,NA
400,"regional_recruitment_variation",1,"identity:400","resolved",1,NA
401,"regional_recruitment_variation",1,"identity:401","resolved",1,NA
402,"regional_recruitment_variation",1,"identity:402","resolved",1,NA
403,"regional_recruitment_variation",1,"identity:403","resolved",1,NA
404,"regional_recruitment_variation",1,"identity:404","resolved",1,NA
405,"regional_recruitment_variation",1,"identity:405","resolved",1,NA
406,"regional_recruitment_variation",1,"identity:406","resolved",1,NA
407,"regional_recruitment_variation",1,"identity:407","resolved",1,NA
408,"regional_recruitment_variation",1,"identity:408","resolved",1,NA
409,"regional_recruitment_variation",1,"identity:409","resolved",1,NA
410,"regional_recruitment_variation",1,"identity:410","resolved",1,NA
411,"regional_recruitment_variation",1,"identity:411","resolved",1,NA
412,"regional_recruitment_variation",1,"identity:412","resolved",1,NA
413,"regional_recruitment_variation",1,"identity:413","resolved",1,NA
414,"regional_recruitment_variation",1,"identity:414","resolved",1,NA
415,"regional_recruitment_variation",1,"identity:415","resolved",1,NA
416,"regional_recruitment_variation",1,"identity:416","resolved",1,NA
417,"regional_recruitment_variation",1,"identity:417","resolved",1,NA
418,"regional_recruitment_variation",1,"identity:418","resolved",1,NA
419,"regional_recruitment_variation",1,"identity:419","resolved",1,NA
420,"regional_recruitment_variation",1,"identity:420","resolved",1,NA
421,"regional_recruitment_variation",1,"identity:421","resolved",1,NA
422,"regional_recruitment_variation",1,"identity:422","resolved",1,NA
423,"regional_recruitment_variation",1,"identity:423","resolved",1,NA
424,"regional_recruitment_variation",1,"identity:424","resolved",1,NA
425,"regional_recruitment_variation",1,"identity:425","resolved",1,NA
426,"regional_recruitment_variation",1,"identity:426","resolved",1,NA
427,"regional_recruitment_variation",1,"identity:427","resolved",1,NA
428,"regional_recruitment_variation",1,"identity:428","resolved",1,NA
429,"regional_recruitment_variation",1,"identity:429","resolved",1,NA
430,"regional_recruitment_variation",1,"identity:430","resolved",1,NA
431,"regional_recruitment_variation",1,"identity:431","resolved",1,NA
432,"regional_recruitment_variation",1,"identity:432","resolved",1,NA
433,"regional_recruitment_variation",1,"identity:433","resolved",1,NA
434,"regional_recruitment_variation",1,"identity:434","resolved",1,NA
435,"regional_recruitment_variation",1,"identity:435","resolved",1,NA
436,"regional_recruitment_variation",1,"identity:436","resolved",1,NA
437,"regional_recruitment_variation",1,"identity:437","resolved",1,NA
438,"regional_recruitment_variation",1,"identity:438","resolved",1,NA
439,"regional_recruitment_variation",1,"identity:439","resolved",1,NA
440,"regional_recruitment_variation",1,"identity:440","resolved",1,NA
441,"regional_recruitment_variation",1,"identity:441","resolved",1,NA
442,"regional_recruitment_variation",1,"identity:442","resolved",1,NA
443,"regional_recruitment_variation",1,"identity:443","resolved",1,NA
444,"regional_recruitment_variation",1,"identity:444","resolved",1,NA
445,"regional_recruitment_variation",1,"identity:445","resolved",1,NA
446,"regional_recruitment_variation",1,"identity:446","resolved",1,NA
447,"regional_recruitment_variation",1,"identity:447","resolved",1,NA
448,"regional_recruitment_variation",1,"identity:448","resolved",1,NA
449,"regional_recruitment_variation",1,"identity:449","resolved",1,NA
450,"regional_recruitment_variation",1,"identity:450","resolved",1,NA
451,"regional_recruitment_variation",1,"identity:451","resolved",1,NA
452,"regional_recruitment_variation",1,"identity:452","resolved",1,NA
453,"regional_recruitment_variation",1,"identity:453","resolved",1,NA
454,"regional_recruitment_variation",1,"identity:454","resolved",1,NA
455,"regional_recruitment_variation",1,"identity:455","resolved",1,NA
456,"regional_recruitment_variation",1,"identity:456","resolved",1,NA
